Time,X,Y,Z,Tap,Double_Tap
2025-03-02T19:15:53.068229,16,240,114,0,0
2025-03-02T19:15:53.089730,3,243,117,0,0
2025-03-02T19:15:53.111398,19,244,112,0,0
2025-03-02T19:15:53.133632,20,243,113,0,0
2025-03-02T19:15:53.155848,14,243,113,0,0
2025-03-02T19:15:53.282923,18,244,112,0,0
2025-03-02T19:15:53.289172,18,244,113,0,0
2025-03-02T19:15:53.295765,14,245,113,0,0
2025-03-02T19:15:53.302702,17,245,112,0,0
2025-03-02T19:15:53.363400,18,244,112,1,0
2025-03-02T19:15:53.385119,17,244,112,0,0
2025-03-02T19:15:53.407102,16,244,114,0,0
2025-03-02T19:15:53.429113,17,243,114,0,0
2025-03-02T19:15:53.450736,16,243,113,0,0
2025-03-02T19:15:53.473015,16,244,113,0,0
2025-03-02T19:15:53.494458,14,246,113,0,0
2025-03-02T19:15:53.516905,16,244,114,0,0
2025-03-02T19:15:53.539397,15,245,114,0,0
2025-03-02T19:15:53.560841,18,244,113,0,0
2025-03-02T19:15:53.583057,16,245,112,0,0
2025-03-02T19:15:53.604671,17,244,114,0,0
2025-03-02T19:15:53.626618,16,244,113,0,0
2025-03-02T19:15:53.649052,16,244,112,0,0
2025-03-02T19:15:53.671416,15,245,113,0,0
2025-03-02T19:15:53.694058,16,244,113,0,0
2025-03-02T19:15:53.844448,16,243,115,0,0
2025-03-02T19:15:53.851475,16,245,113,0,0
2025-03-02T19:15:53.858284,16,244,114,0,0
2025-03-02T19:15:53.864962,17,243,113,0,0
2025-03-02T19:15:53.872961,8,245,108,0,0
2025-03-02T19:15:53.879891,19,256,124,0,0
2025-03-02T19:15:53.887816,-12,246,121,0,0
2025-03-02T19:15:53.895131,21,246,116,0,0
2025-03-02T19:15:53.901255,-2,255,111,0,0
2025-03-02T19:15:53.909209,9,246,108,0,0
2025-03-02T19:15:53.931040,32,244,109,0,0
2025-03-02T19:15:53.952542,23,244,118,0,0
2025-03-02T19:15:53.976463,3,246,112,0,0
2025-03-02T19:15:53.996824,28,241,113,0,0
2025-03-02T19:15:54.019071,12,243,113,0,0
2025-03-02T19:15:54.040852,12,243,113,0,0
2025-03-02T19:15:54.062962,19,245,114,0,0
2025-03-02T19:15:54.085405,19,244,113,0,0
2025-03-02T19:15:54.107042,13,244,114,0,0
2025-03-02T19:15:54.129021,15,244,112,0,0
2025-03-02T19:15:54.252169,18,244,114,1,0
2025-03-02T19:15:54.397653,16,244,113,0,0
2025-03-02T19:15:54.404761,18,244,114,0,0
2025-03-02T19:15:54.411072,16,244,113,0,0
2025-03-02T19:15:54.417712,18,243,113,0,0
2025-03-02T19:15:54.423875,17,244,114,0,0
2025-03-02T19:15:54.431035,16,245,113,0,0
2025-03-02T19:15:54.437561,16,244,112,0,0
2025-03-02T19:15:54.447497,17,242,112,0,0
2025-03-02T19:15:54.453715,17,244,112,0,0
2025-03-02T19:15:54.465115,16,244,114,0,0
2025-03-02T19:15:54.486559,16,243,112,0,0
2025-03-02T19:15:54.508669,16,244,112,0,0
2025-03-02T19:15:54.530321,16,245,112,0,0
2025-03-02T19:15:54.553113,17,244,115,0,0
2025-03-02T19:15:54.574638,15,244,113,0,0
2025-03-02T19:15:54.596900,16,244,112,0,0
2025-03-02T19:15:54.618736,17,245,114,0,0
